,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
1202,Immigration Law Group LLP,Denied,H-1B,INDIA,SUNNYVALE,Global Mobility Manager,JUNIPER NETWORKS,3272.0,CALIFORNIA,Master's,THE GEORGIA INSTITUTE OF TECHNOLOGY,ELECTRICAL AND COMPUTER ENGINEERING,CALIFORNIA,2,"Electronics Engineers, Except Computer",102731.0
1203,"Greensfelder, Hemker & Gale, P.C.",Certified,H-1B,PHILIPPINES,LAWRENCEVILLE,Chief Executive Officer,LAWRENCE COUNTY MEMORIAL HOSPITAL,155.0,ILLINOIS,Bachelor's,SILLIMAN UNIVERSITY,MEDICAL TECHNOLOGY,ILLINOIS,2,Medical and Clinical Laboratory Technologists,45760.0
1204,Murthy Law Firm,Certified,H-1B,CHINA,NASHUA,Chief Financial Officer,"BIZNEWS24.COM, INC.",36.0,NEW HAMPSHIRE,Master's,SOUTHERN NEW HAMPSHIRE UNIVERSITY,INFORMATION TECHNOLOGY,NEW HAMPSHIRE,2,"Software Developers, Applications",73278.0
1205,"Dehai Tao, P.C.",Certified,H-1B,INDIA,FARMINGTON HILLS,Vice President,"TEKNEST, INC.",23.0,MICHIGAN,Master's,OSMANIA UNIVERSITY,COMPUTER APPLICATIONS,GEORGIA,3,"Software Developers, Applications",78500.0
1206,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,ABBOTT PARK,Senior Paralegal,ABBOTT LABORATORIES,70000.0,ILLINOIS,Doctorate,NORTHWESTERN UNIVERSITY,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",CALIFORNIA,3,Biomedical Engineers,97500.0
1207,Law Office of Aparna Dave,Certified,H-1B,INDIA,PRINCETON,President,SIMPLESOLVE INC.,8.0,NEW JERSEY,Bachelor's,UNIVERSITY OF MADRAS,BUSINESS ADMINSTRATION,NEW JERSEY,4,Computer Systems Analysts,101500.0
1208,Murthy Law Firm,Certified,H-1B,INDIA,CATONSVILLE,President,UNIFY SOLUTIONS INC,117.0,MARYLAND,Master's,ASPEN UNIVERSITY,INFORMATION TECHNOLOGY,TEXAS,3,Computer Systems Analysts,82500.0
1209,Garfinkel Immigration Law Firm,Certified,H-1B,INDIA,AUBURN HILLS,Human Resources Manager,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",5411.0,MICHIGAN,Bachelor's,"VISVESWARAIAH TECHNOLOGICAL UNIVERSITY, BELGAUM",MECHANICAL ENGINEERING,MICHIGAN,2,"Electronics Engineers, Except Computer",78373.28
1210,Berry Appleman & Leiden LLP,Certified,H-1B,SLOVAKIA,MENLO PARK,Global Tax & Immigration Manager,"FACEBOOK, INC.",5080.0,CALIFORNIA,Master's,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",120218.0
1211,Murthy Law Firm,Denied,H-1B,INDIA,NASHVILLE,"Senior Director, Software Services","KEYSTONE AUTOMOTIVE INDUSTRIES, INC.",5784.0,TENNESSEE,Bachelor's,UNIVERSITY OF GORAKHPUR,MATHEMATICS,TENNESSEE,4,"Software Developers, Applications",88296.0
1212,"Alan C. Chen, P.C.",Certified,H-1B,INDIA,IRVING,CEO,SERVER MANAGEMENT SERVICES LLC,45.0,TEXAS,Master's,MINNESOTA STATE UNIVERSITY,ELECTRICAL ENGINEERING,CALIFORNIA,2,"Software Developers, Applications",78374.0
1213,Savitz Law Offices,Certified,H-1B,INDIA,WHITE PLAINS,"Vice President, Human Resources","EDGEWATER TECHNOLOGY - RANZAL, INC.",336.0,NEW YORK,Bachelor's,FLORIDA INSTITUTE OF TECHNOLOGY,ELECTRICAL ENGINEERING,ILLINOIS,4,Computer Systems Analysts,108534.0
1214,YEAGER AND ETKIND ATTORNEYS AT LAW,Certified,H-1B,RUSSIA,GAITHERSBURG,MANAGER,"VALEX, LLC",10.0,MARYLAND,Master's,NOVOSIBIRSK STATE TECHNICAL UNIVERSITY,COMPUTER SCIENCE AND ENGINEERING,MARYLAND,2,"Software Developers, Systems Software",100000.0
1215,McKenna Long & Aldridge LLP,Certified,H-1B,TURKEY,ATLANTA,Director of Human Resources,"JOHN PORTMAN & ASSOCIATES, INC.",47.0,GEORGIA,Master's,GEORGIA INSTITUTE OF TECHNOLOGY,ARCHITECTURE,GEORGIA,4,Architectural and Civil Drafters,63128.0
1216,Ogletree Deakins,Certified,H-1B,DENMARK,SEBASTOPOL,Recruiting Manager,"O'REILLY MEDIA, INC.",189.0,CALIFORNIA,Master's,NEW YORK UNIVERSITY,INTERACTIVE TELECOMMUNICATIONS,NEW YORK,2,"Software Developers, Applications",88130.0
1217,LAW OFFICES OF SINGH & ASSOCIATES,Denied,H-1B,PAKISTAN,STERLING,CHIEF STRATEGY OFFICER,"INFUSED SOLUTIONS, LLC",600.0,VIRGINIA,Bachelor's,INSTITUTE OF CHARTERED ACCOUNTANT,ACCOUNTING,VIRGINIA,2,Accountants and Auditors,69000.0
