,Unnamed: 0,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
398,398,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,CHINA,NEW YORK,vp,"GOLDMAN, SACHS & CO.",35000.0,NEW YORK,Master's,UNIVERSITY OF UTAH,"SCIENCE IN FINANCE, ECONOMICS IN FINANCE",UTAH,2,Financial Managers,81868.8
399,399,"Clement & Hurst, PLC",Denied,H-1B,INDIA,FARMINGTON HILLS,president,HCL GLOBAL SYSTEMS INC,603.0,MICHIGAN,Master's,UNIVERSITY OF MADRAS,COMPUTER APPLICATIONS,NEW JERSEY,3,"Software Developers, Applications",80200.0
400,400,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,TURKEY,JERSEY CITY,vp,"GOLDMAN, SACHS & CO.",10941.0,NEW JERSEY,Master's,CITY UNIVERSITY,BUSINESS ADMINISTRATION,NEW YORK,4,Accountants and Auditors,106538.0
401,401,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,BRAZIL,NEW YORK,vp,"GOLDMAN, SACHS & CO.",35000.0,NEW YORK,Master's,UNIVERSITY OF PENNSYLVANIA,FINANCE,NEW YORK,3,"Securities, Commodities, and Financial Services Sales Agents",128336.0
402,402,"Ray Law International, P.C.",Denied,H-1B,INDIA,PLAINSBORO,president,VAKTECH CORPORATION LLC,71.0,NEW JERSEY,Bachelor's,OSMANIA UNIVERSITY,COMPUTER SCIENCES,WISCONSIN,4,"Computer Software Engineers, Applications",108368.0
403,403,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,INDIA,NEW YORK,vp,GOLDMAN SACHS & CO.,35000.0,NEW YORK,Bachelor's,UNIVERSITY OF PENNSYLVANIA,ECONOMICS,NEW YORK,4,Financial Managers,205587.2
404,404,Rose Carson Kaplan Choi & White LLP,Certified,H-1B,INDIA,SAN JOSE,others,"ROSENDIN ELECTRIC, INC.",722.0,CALIFORNIA,Master's,MADURAI KAMARAJ UNIVERSITY,COMPUTER SCIENCE (APPLICATIONS),CALIFORNIA,2,Computer Systems Analysts,92500.0
405,405,Murthy Law Firm,Certified,H-1B,INDIA,HERNDON,president,VISTA APPLIED SOLUTIONS GROUP INC,34.0,VIRGINIA,Bachelor's,UNIVERSITY OF MADRAS,COMPUTER SCIENCE AND ENGINEERING,VIRGINIA,4,Computer Systems Analysts,122096.0
406,406,"Yu, South & Associates, PLLC",Denied,H-1B,VENEZUELA,GARLAND,director,GARLAND INDEPENDENT SCHOOL DISTRICT,6000.0,TEXAS,Master's,UNIVERSITY OF DALLAS,BUSINESS ADMINISTRATION,TEXAS,2,"Elementary School Teachers, Except Special Education",49590.0
407,407,Law Offices of Mahesh Bajoria,Denied,H-1B,INDIA,SUNNYVALE,director,HORIZON TECHNOLOGIES INC,213.0,CALIFORNIA,Master's,UNIVERSITY OF KERALA,COMPUTER SCIENCE,FLORIDA,4,"Software Developers, Applications",133078.4
